"Adam Gannon","Q76130885","2019 United Kingdom general election","Fermanagh and South Tyrone","Social Democratic and Labour Party"
"Alan John Evans",,,,
"Aloysius Mulloy",,,,
"Baptist W. Gamble",,,,
"Caroline Wheeler","Q76509744","2019 United Kingdom general election","Fermanagh and South Tyrone","independent politician"
"David Kettyles",,,,
"Eric Bullick",,,,
"Frederick Patterson",,,,
"Gerry Cullen",,,,
"Giles FitzHerbert",,,,
"Hannah Su",,,,
"Hubert Irvin Brown",,,,
"James J. Donnelly",,,,
"James Leslie Cooper",,,,
"James Martin",,,,
"John Coyle",,,,
"John Haslett",,,,
"John Stevenson","Q341538","2019 United Kingdom general election","Carlisle","Conservative Party"
"Martin Green",,,,
"Mary Garrity",,,,
"Matthew Beaumont","Q76130932","2019 United Kingdom general election","Fermanagh and South Tyrone","Alliance Party of Northern Ireland"
"Noreen Campbell",,,,
"Paul Corrigan",,,,
"Peter Newton Acheson",,,,
"Rosemary Flanagan",,,,
"Simeon Gillan",,,,
"Simon Hall-Raleigh",,,,
"Tanya Jones",,,,
"Tom Moore",,,,
"Vasundhara Kamble",,,,
"William James Dixon",,,,
